Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
12.268456,0.000037,12.268493,3,1,PROCESSO_1,BATCH
12.281779,0.000061,12.281840,3,3,PROCESSO_3,BATCH
12.296360,0.000077,12.296437,3,2,PROCESSO_2,BATCH
15.713428,0.000071,15.713499,3,2,PROCESSO_2,FIFO
16.906057,0.000064,16.906121,3,3,PROCESSO_3,FIFO
17.651201,0.000081,17.651282,3,1,PROCESSO_1,FIFO
12.254311,0.000081,12.254392,3,2,PROCESSO_2,OTHER
12.302827,0.000042,12.302869,3,1,PROCESSO_1,OTHER
12.305123,0.000035,12.305158,3,3,PROCESSO_3,OTHER
