Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
14.244382,0.000057,14.244439,9,2,PROCESSO_2,BATCH
14.271047,0.000127,14.271174,9,1,PROCESSO_1,BATCH
14.244743,0.000049,14.244792,9,3,PROCESSO_3,BATCH
14.272123,0.000045,14.272168,9,7,PROCESSO_7,BATCH
14.269757,0.000040,14.269797,9,5,PROCESSO_5,BATCH
14.272298,0.000063,14.272361,9,6,PROCESSO_6,BATCH
14.259349,0.000047,14.259396,9,9,PROCESSO_9,BATCH
14.246254,0.000038,14.246292,9,8,PROCESSO_8,BATCH
14.219524,0.000026,14.219550,9,4,PROCESSO_4,BATCH
25.725442,0.000039,25.725481,9,2,PROCESSO_2,FIFO
25.721182,0.000032,25.721214,9,3,PROCESSO_3,FIFO
26.212902,0.000072,26.212974,9,4,PROCESSO_4,FIFO
26.216165,0.000069,26.216234,9,5,PROCESSO_5,FIFO
29.077050,0.000060,29.077110,9,6,PROCESSO_6,FIFO
29.081440,0.000084,29.081524,9,1,PROCESSO_1,FIFO
13.560609,0.000023,13.560632,9,8,PROCESSO_8,FIFO
17.193377,0.000025,17.193402,9,9,PROCESSO_9,FIFO
19.311809,0.000026,19.311835,9,7,PROCESSO_7,FIFO
14.260744,0.000067,14.260811,9,6,PROCESSO_6,OTHER
14.222375,0.000079,14.222454,9,2,PROCESSO_2,OTHER
14.270888,0.000059,14.270947,9,5,PROCESSO_5,OTHER
14.222771,0.000053,14.222824,9,3,PROCESSO_3,OTHER
14.271919,0.000070,14.271989,9,1,PROCESSO_1,OTHER
14.258249,0.000035,14.258284,9,8,PROCESSO_8,OTHER
14.259089,0.000028,14.259117,9,9,PROCESSO_9,OTHER
14.195969,0.000025,14.195994,9,4,PROCESSO_4,OTHER
14.243657,0.000048,14.243705,9,7,PROCESSO_7,OTHER
