Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
14.217363,0.000039,14.217402,9,1,PROCESSO_1,BATCH
14.217797,0.000033,14.217830,9,4,PROCESSO_4,BATCH
14.237813,0.000061,14.237874,9,7,PROCESSO_7,BATCH
14.236140,0.000029,14.236169,9,6,PROCESSO_6,BATCH
14.237542,0.000042,14.237584,9,8,PROCESSO_8,BATCH
14.216988,0.000073,14.217061,9,3,PROCESSO_3,BATCH
14.229423,0.000027,14.229450,9,5,PROCESSO_5,BATCH
14.216542,0.000080,14.216622,9,2,PROCESSO_2,BATCH
14.188905,0.000025,14.188930,9,9,PROCESSO_9,BATCH
23.928817,0.000068,23.928885,9,5,PROCESSO_5,FIFO
24.874811,0.000069,24.874880,9,4,PROCESSO_4,FIFO
26.996707,0.000087,26.996794,9,1,PROCESSO_1,FIFO
28.330932,0.000060,28.330992,9,6,PROCESSO_6,FIFO
35.380280,0.000084,35.380364,9,3,PROCESSO_3,FIFO
37.384547,0.000071,37.384618,9,2,PROCESSO_2,FIFO
17.070558,0.000058,17.070616,9,8,PROCESSO_8,FIFO
22.293157,0.000026,22.293183,9,7,PROCESSO_7,FIFO
25.084340,0.000026,25.084366,9,9,PROCESSO_9,FIFO
14.280501,0.000124,14.280625,9,2,PROCESSO_2,OTHER
14.274512,0.000038,14.274550,9,4,PROCESSO_4,OTHER
14.221581,0.000041,14.221622,9,8,PROCESSO_8,OTHER
14.275271,0.000023,14.275294,9,9,PROCESSO_9,OTHER
14.224972,0.000067,14.225039,9,5,PROCESSO_5,OTHER
14.274944,0.000019,14.274963,9,6,PROCESSO_6,OTHER
14.267776,0.000071,14.267847,9,3,PROCESSO_3,OTHER
14.193860,0.000071,14.193931,9,1,PROCESSO_1,OTHER
14.137351,0.000026,14.137377,9,7,PROCESSO_7,OTHER
