Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
Tempo_Total,Tempo_Inicial,Tempo_Final,Total_Processos,Numero_Processo,Id_Processo,Algoritmo
14.178161,0.000026,14.178187,9,8,PROCESSO_8,BATCH
14.226564,0.000025,14.226589,9,9,PROCESSO_9,BATCH
14.231935,0.000076,14.232011,9,1,PROCESSO_1,BATCH
14.236978,0.000035,14.237013,9,7,PROCESSO_7,BATCH
14.183247,0.000087,14.183334,9,6,PROCESSO_6,BATCH
14.229265,0.000069,14.229334,9,5,PROCESSO_5,BATCH
14.237233,0.000100,14.237333,9,3,PROCESSO_3,BATCH
14.142883,0.000056,14.142939,9,4,PROCESSO_4,BATCH
14.157016,0.000085,14.157101,9,2,PROCESSO_2,BATCH
17.359703,0.000050,17.359753,9,5,PROCESSO_5,FIFO
17.359858,0.000053,17.359911,9,4,PROCESSO_4,FIFO
26.334110,0.000035,26.334145,9,3,PROCESSO_3,FIFO
26.334279,0.000039,26.334318,9,2,PROCESSO_2,FIFO
27.365065,0.000078,27.365143,9,1,PROCESSO_1,FIFO
27.447364,0.000042,27.447406,9,6,PROCESSO_6,FIFO
14.324946,0.000035,14.324981,9,7,PROCESSO_7,FIFO
17.194863,0.000032,17.194895,9,8,PROCESSO_8,FIFO
14.330817,0.000023,14.330840,9,9,PROCESSO_9,FIFO
14.273594,0.000085,14.273679,9,2,PROCESSO_2,OTHER
14.249227,0.000034,14.249261,9,4,PROCESSO_4,OTHER
14.248885,0.000039,14.248924,9,9,PROCESSO_9,OTHER
14.286640,0.000043,14.286683,9,7,PROCESSO_7,OTHER
14.279587,0.000037,14.279624,9,8,PROCESSO_8,OTHER
14.276300,0.000072,14.276372,9,1,PROCESSO_1,OTHER
14.250888,0.000069,14.250957,9,5,PROCESSO_5,OTHER
14.207174,0.000070,14.207244,9,6,PROCESSO_6,OTHER
14.152332,0.000069,14.152401,9,3,PROCESSO_3,OTHER
